0.7	2.82	2.76	1.18	-0.76	-0.1	1.04	0.455	4.81
0.8	3.28	2.04	1.22	-0.76	-0.13	0.96	0.315	4.72
0.9	3.7	1.53	1.26	-0.75	-0.15	0.88	0.22	4.62
1	4.08	1.16	1.3	-0.74	-0.17	0.81	0.156	4.51
1.1	4.42	0.88	1.34	-0.72	-0.19	0.73	0.108	4.39
1.2	4.72	0.68	1.38	-0.7	-0.22	0.67	0.078	4.27
1.3	4.98	0.52	1.42	-0.68	-0.24	0.6	0.055	4.15
1.4	5.2	0.38	1.46	-0.66	-0.26	0.55	0.037	4.03
1.5	5.38	0.26	1.5	-0.63	-0.29	0.49	0.023	3.92
1.6	5.54	0.2	1.54	-0.6	-0.31	0.45	0.017	3.81
1.7	5.67	0.15	1.58	-0.57	-0.33	0.41	0.012	3.7
1.8	5.77	0.11	1.62	-0.53	-0.35	0.37	0.008	3.61
1.9	5.85	0.09	1.66	-0.49	-0.38	0.33	0.006	3.49
2	5.92	0.07	1.7	-0.45	-0.4	0.3	0.004	3.4
